age,gender,past_purchases,browsing_time,category,recommend
29,F,1,6,books,0
51,F,11,5,books,1
50,F,2,5,books,0
40,F,2,22,books,0
41,M,0,15,fashion,0
54,M,7,23,books,1
52,M,7,17,fashion,1
57,F,10,9,fashion,1
39,F,8,3,fashion,1
44,M,4,20,electronics,1
52,M,13,26,fashion,1
18,F,2,17,fashion,0
52,F,4,29,electronics,0
54,M,4,27,electronics,1
31,M,18,10,electronics,1
20,F,13,3,books,1
18,M,3,18,electronics,1
22,M,12,18,electronics,1
43,M,9,17,fashion,1
31,F,17,24,electronics,1
56,F,7,3,books,1
44,F,7,3,electronics,1
26,F,6,6,books,1
32,F,7,13,electronics,1
32,F,13,24,electronics,1
43,F,18,29,electronics,1
59,M,5,15,electronics,1
30,M,0,25,books,0
49,M,14,9,books,1
56,M,0,4,fashion,0
49,M,16,14,books,1
21,M,0,5,electronics,1
47,M,14,2,fashion,1
54,F,1,11,fashion,0
40,F,13,9,fashion,1
56,M,7,24,electronics,1
32,M,7,3,books,1
46,F,18,27,electronics,1
53,M,6,28,fashion,1
30,M,18,29,electronics,1
49,F,5,9,electronics,0
24,M,5,3,books,0
39,F,2,25,books,0
45,M,6,2,fashion,1
19,F,18,12,electronics,1
59,F,7,10,electronics,1
23,F,9,9,books,1
45,M,19,15,electronics,1
45,F,14,8,electronics,1
37,M,14,25,electronics,1
47,M,0,5,books,0
28,M,19,11,fashion,1
45,M,6,27,fashion,1
42,F,3,2,electronics,0
56,F,5,24,fashion,0
50,M,0,28,books,0
18,M,4,15,books,0
44,F,0,6,fashion,0
30,M,3,8,fashion,0
58,F,1,27,electronics,0
20,M,9,5,fashion,1
56,M,4,16,electronics,1
23,F,9,26,electronics,1
25,M,0,18,books,0
44,F,5,6,books,0
26,M,12,5,books,1
54,M,14,28,books,1
50,M,3,16,fashion,0
59,F,12,13,books,1
41,M,19,28,fashion,1
32,M,14,5,books,1
49,M,7,13,fashion,1
49,M,4,17,electronics,1
41,F,14,18,fashion,1
58,F,3,8,fashion,0
29,M,11,13,books,1
56,F,12,29,fashion,1
19,M,1,19,electronics,1
20,M,18,26,electronics,1
54,M,18,3,books,1
34,F,3,24,electronics,0
19,F,3,8,fashion,0
19,F,10,2,electronics,1
45,F,4,8,books,0
40,F,19,27,fashion,1
54,F,10,13,books,1
49,F,9,13,fashion,1
50,F,7,1,electronics,1
18,F,5,6,books,0
36,M,5,24,books,0
19,F,7,19,fashion,1
43,F,14,16,books,1
49,F,13,8,fashion,1
23,F,10,28,fashion,1
49,F,11,1,fashion,1
21,F,12,27,fashion,1
28,F,7,27,electronics,1
34,F,17,16,fashion,1
55,F,0,9,books,0
41,F,14,13,electronics,1
22,F,7,11,books,1
51,M,10,13,electronics,1
23,M,11,25,fashion,1
39,F,11,21,electronics,1
28,F,3,10,electronics,0
33,M,15,4,books,1
50,F,3,27,books,0
26,M,4,6,fashion,0
23,M,4,28,electronics,1
33,M,7,7,electronics,1
46,M,9,5,electronics,1
20,M,16,11,fashion,1
37,F,8,13,fashion,1
53,M,18,26,fashion,1
36,F,13,25,fashion,1
43,F,7,19,fashion,1
20,M,8,23,books,1
36,M,10,10,electronics,1
37,F,0,10,electronics,0
49,M,13,11,electronics,1
24,M,4,21,electronics,1
58,F,13,7,electronics,1
50,F,3,18,electronics,0
57,M,0,4,electronics,1
56,F,18,2,electronics,1
35,M,7,14,books,1
57,M,14,13,electronics,1
18,M,14,29,books,1
28,F,8,12,fashion,1
45,F,8,7,electronics,1
42,F,9,2,fashion,1
40,F,19,13,fashion,1
48,F,8,14,fashion,1
47,M,2,27,books,0
59,M,19,17,fashion,1
52,M,10,9,fashion,1
24,M,5,17,fashion,0
33,F,1,8,electronics,0
43,M,6,2,electronics,1
19,F,17,28,books,1
18,M,1,24,books,0
29,F,16,13,electronics,1
22,F,10,3,books,1
54,M,11,16,electronics,1
49,M,18,6,fashion,1
26,M,6,19,fashion,1
58,M,19,7,books,1
52,F,5,10,electronics,0
36,M,0,9,electronics,1
33,M,16,2,books,1
20,F,10,28,electronics,1
37,M,17,28,fashion,1
41,M,16,15,books,1
50,M,6,5,books,1
41,M,16,29,electronics,1
28,M,19,22,books,1
25,F,8,4,electronics,1
53,M,16,20,electronics,1
55,M,19,4,electronics,1
57,M,7,18,electronics,1
37,M,16,4,electronics,1
52,M,6,27,books,1
42,F,0,17,fashion,0
52,M,12,12,fashion,1
42,F,18,22,books,1
46,F,18,17,books,1
35,M,16,10,fashion,1
35,M,12,22,fashion,1
19,M,15,1,fashion,1
52,M,7,22,fashion,1
33,F,18,26,fashion,1
58,M,17,24,electronics,1
53,M,0,27,books,0
50,M,13,18,electronics,1
21,M,18,18,fashion,1
50,M,14,14,fashion,1
31,M,17,15,fashion,1
38,F,1,29,electronics,0
37,F,16,12,electronics,1
25,M,17,4,fashion,1
24,M,5,27,electronics,1
20,M,18,3,electronics,1
34,F,3,20,fashion,0
50,M,0,29,electronics,1
29,F,7,12,books,1
39,M,6,7,books,1
39,M,2,29,books,0
47,M,9,11,books,1
55,M,9,1,fashion,1
55,F,18,6,fashion,1
25,F,13,15,fashion,1
44,M,1,15,books,0
44,M,0,19,books,0
51,F,17,11,electronics,1
38,F,6,26,electronics,1
47,F,7,23,books,1
50,F,0,26,books,0
45,M,2,2,books,0
50,F,7,14,books,1
22,M,14,2,electronics,1
36,F,4,29,books,0
21,F,2,4,electronics,0
52,F,18,17,books,1
34,F,0,3,books,0
45,F,14,13,books,1
47,M,7,9,electronics,1
46,M,1,7,electronics,1
23,F,2,15,fashion,0
52,F,13,23,books,1
58,M,13,29,fashion,1
54,F,10,29,fashion,1
41,F,15,11,electronics,1
46,M,3,20,electronics,1
48,F,19,2,fashion,1
52,F,4,15,books,0
50,M,13,14,electronics,1
38,M,15,20,books,1
49,M,17,22,books,1
40,F,6,11,fashion,1
50,M,9,27,fashion,1
20,M,6,3,fashion,1
35,M,0,17,fashion,0
42,M,18,12,electronics,1
59,M,15,24,electronics,1
48,M,18,28,fashion,1
20,F,3,29,electronics,0
57,F,17,21,fashion,1
41,M,1,15,books,0
49,M,0,16,books,0
39,M,14,5,books,1
40,F,4,27,fashion,0
19,F,19,20,books,1
44,F,10,6,electronics,1
59,F,9,19,books,1
19,F,1,25,books,0
43,F,2,5,books,0
34,F,11,3,electronics,1
57,F,19,27,fashion,1
50,F,4,1,electronics,0
26,M,4,26,fashion,0
56,M,5,28,fashion,0
46,M,8,6,books,1
59,M,1,15,fashion,0
43,F,11,2,electronics,1
52,F,2,29,electronics,0
42,M,19,3,fashion,1
41,F,11,17,books,1
30,M,16,25,books,1
24,F,9,24,electronics,1
53,M,13,12,books,1
37,F,16,18,fashion,1
18,F,17,15,fashion,1
25,M,18,12,electronics,1
33,F,16,16,fashion,1
31,M,13,27,electronics,1
29,M,8,8,fashion,1
40,M,7,28,electronics,1
32,M,1,14,books,0
45,F,12,25,fashion,1
51,F,6,17,fashion,1
19,F,8,29,electronics,1
49,M,10,21,electronics,1
40,F,13,8,fashion,1
39,M,3,15,electronics,1
42,F,12,27,fashion,1
39,F,1,14,books,0
39,F,4,18,electronics,0
59,M,10,20,fashion,1
23,F,5,7,books,0
32,F,17,3,books,1
54,M,9,29,fashion,1
50,F,3,12,electronics,0
25,M,8,21,fashion,1
22,F,5,24,books,0
56,M,1,28,fashion,0
21,M,16,26,electronics,1
23,F,4,3,books,0
49,M,5,20,fashion,0
47,M,11,14,electronics,1
52,M,9,15,books,1
57,M,5,25,electronics,1
33,M,7,14,books,1
30,M,1,7,fashion,0
59,F,11,17,electronics,1
47,M,12,12,books,1
36,M,6,20,electronics,1
34,F,9,4,electronics,1
36,F,12,9,fashion,1
45,F,16,6,electronics,1
43,F,13,16,books,1
54,F,1,25,books,0
43,F,10,28,books,1
40,F,0,22,books,0
26,M,18,22,fashion,1
29,M,3,21,electronics,1
18,F,18,21,fashion,1
18,M,10,2,electronics,1
51,M,7,24,electronics,1
49,M,10,8,electronics,1
42,F,3,11,fashion,0
57,F,16,13,electronics,1
18,M,6,17,fashion,1
33,F,7,8,books,1
56,M,2,21,books,0
22,M,1,18,electronics,1
39,M,14,18,fashion,1
46,M,4,14,books,0
20,F,0,15,fashion,0
29,F,3,6,fashion,0
43,F,14,11,electronics,1
33,M,19,13,books,1
54,F,18,25,electronics,1
39,M,2,1,electronics,1
46,F,19,28,books,1
31,M,10,6,books,1
45,M,16,9,fashion,1
22,M,12,8,books,1
47,F,10,11,fashion,1
22,F,1,22,fashion,0
29,F,8,19,fashion,1
33,F,1,24,books,0
43,M,8,9,electronics,1
43,F,8,17,fashion,1
38,F,7,12,electronics,1
56,M,16,25,electronics,1
53,M,0,14,books,0
50,M,10,15,electronics,1
47,F,7,16,electronics,1
54,M,9,22,books,1
40,M,6,22,fashion,1
27,M,2,28,electronics,1
22,F,2,20,books,0
53,M,17,1,electronics,1
51,F,4,10,electronics,0
48,F,11,8,fashion,1
27,M,11,18,electronics,1
36,M,18,28,books,1
49,F,5,1,electronics,0
18,M,1,2,fashion,0
22,M,11,1,fashion,1
21,F,18,1,books,1
33,F,4,9,fashion,0
41,M,11,13,electronics,1
33,F,16,1,fashion,1
19,M,16,13,books,1
45,M,9,20,fashion,1
49,M,16,26,fashion,1
44,F,14,22,fashion,1
37,M,11,7,books,1
41,M,15,2,fashion,1
29,M,18,6,fashion,1
52,F,7,7,electronics,1
50,F,16,26,books,1
50,F,4,14,fashion,0
54,F,15,26,books,1
29,F,5,18,fashion,0
20,M,7,15,fashion,1
18,F,17,2,fashion,1
50,F,11,10,electronics,1
57,F,14,23,electronics,1
27,M,8,12,electronics,1
46,F,12,17,books,1
30,F,14,8,books,1
29,M,9,11,electronics,1
48,F,15,29,books,1
19,M,6,3,fashion,1
52,M,16,27,fashion,1
40,M,6,6,fashion,1
34,M,13,9,electronics,1
43,M,14,6,books,1
25,F,6,9,electronics,1
46,M,8,7,books,1
43,M,18,9,fashion,1
27,F,15,18,electronics,1
43,M,7,12,books,1
51,F,17,8,books,1
58,F,17,8,fashion,1
24,F,19,18,electronics,1
21,M,6,28,electronics,1
28,M,2,20,electronics,1
46,M,17,15,fashion,1
53,F,9,27,electronics,1
42,M,6,7,fashion,1
38,M,16,11,fashion,1
53,M,13,20,fashion,1
27,F,2,16,books,0
54,F,11,4,electronics,1
26,M,12,6,electronics,1
41,M,1,26,fashion,0
52,M,2,22,fashion,0
52,M,4,26,electronics,1
53,F,10,3,fashion,1
35,F,7,9,electronics,1
56,F,11,28,books,1
49,F,6,10,fashion,1
41,M,14,14,electronics,1
40,M,16,11,fashion,1
49,M,3,18,electronics,1
